canonical_afm	verdict	registry_spelling	times_seen	curated_json_name	suggested_display	your_display_name	notes
096034348	accepted	ΔΑ.ΣΕ. ΑΝΑΒΡΥΤΟΥ	1	ΔΑ.ΣΕ. ΑΝΑΒΡΥΤΟΥ	ΔΑ.ΣΕ. ΑΝΑΒΡΥΤΟΥ		
096034373	accepted	ΔΑΣΕ ΚΑΣΤΑΝΟΧΩΡΙΟΥ	5	ΔΑΣΕ ΚΑΣΤΑΝΟΧΩΡΙΟΥ	ΔΑΣΕ ΚΑΣΤΑΝΟΧΩΡΙΟΥ		
096034397	accepted	ΔΑΣΕ ΛΑΓΚΑΔΙΟΥ	6	ΔΑΣΕ ΛΑΓΚΑΔΙΟΥ	ΔΑΣΕ ΛΑΓΚΑΔΙΟΥ		
096034625	accepted	ΔΑ.Σ.Ε. ΛΙΘΟΤΟΠΟΥ	4	ΔΑΣΙΚΟΣ ΣΥΝΕΤΑΙΡΙΣΜΟΣ ΕΡΓΑΣΙΑΣ ΛΙΘΟΤΟΠΟΥ	ΔΑ.Σ.Ε. ΛΙΘΟΤΟΠΟΥ		
096034625	accepted	ΔΑΣΙΚΟΣ ΣΥΝΕΤΑΙΡΙΣΜΟΣ ΕΡΓΑΣΙΑΣ ΛΙΘΟΤΟΠΟΥ	1				
096034649	accepted	ΔΑΣΕ ΠΟΛΥΓΥΡΟΥ	7	ΔΑΣΙΚΟΣ ΣΥΝΕΤΑΙΡΙΣΜΟΣ ΠΟΛΥΓΥΡΟΥ	ΔΑΣΕ ΠΟΛΥΓΥΡΟΥ		
096034649	accepted	ΔΑΣΙΚΟΣ ΣΥΝΕΤΑΙΡΙΣΜΟΣ ΠΟΛΥΓΥΡΟΥ	1				
096034729	accepted	ΔΑΣΕ ΑΙΣΥΜΗΣ Α΄	5	ΔΑΣΙΚΟΣ ΣΥΝΕΤΑΙΡΙΣΜΟΣ ΕΡΓΑΣΙΑΣ ΑΙΣΥΜΗΣ Α	ΔΑΣΕ ΑΙΣΥΜΗΣ Α΄		
096034729	accepted	ΔΑΣΙΚΟΣ ΣΥΝΕΤΑΙΡΙΣΜΟΣ ΕΡΓΑΣΙΑΣ ΑΙΣΥΜΗΣ Α	5				
096034729	accepted	ΔΑΣΕ ΑΙΣΥΜΗΣ Α	4				
096034730	accepted	ΔΑΣΙΚΟΣ ΣΥΝΕΤΑΙΡΙΣΜΟΣ ΕΡΓΑΣΙΑΣ ΑΙΣΥΜΗΣ Β	11	ΔΑΣΙΚΟΣ ΣΥΝΕΤΑΙΡΙΣΜΟΣ ΕΡΓΑΣΙΑΣ ΑΙΣΥΜΗΣ Β	ΔΑΣΙΚΟΣ ΣΥΝΕΤΑΙΡΙΣΜΟΣ ΕΡΓΑΣΙΑΣ ΑΙΣΥΜΗΣ Β		
096034730	accepted	ΔΑΣΕ ΑΙΣΥΜΗΣ Β	2				
096034730	accepted	ΔΑΣΕ ΑΙΣΥΜΗΣ Β΄	2				
096034791	accepted	ΔΑΣΕ ΓΟΜΑΤΙΟΥ	3	ΔΑ.Σ.Ε. Γοματίου	ΔΑΣΕ ΓΟΜΑΤΙΟΥ		
096034791	accepted	ΔΑΣΕ Γοματίου	3				
096034791	accepted	ΔΑ.Σ.Ε. Γοματίου	1				
096034895	accepted	ΔΑΣΕ Αριστοτέλης	3	ΔΑ.Σ.Ε Αρναίας Χαλκιδικής ‘Ο ΑΡΙΣΤΟΤΕΛΗΣ’	ΔΑΣΕ Αριστοτέλης		
096034895	accepted	ΔΑΣΕ ΑΡΙΣΤΟΤΕΛΗΣ	2				
096034895	accepted	ΔΑ.Σ.Ε ΑΡΙΣΤΟΤΕΛΗΣ	1				
096034895	accepted	ΔΑ.Σ.Ε Αρναίας Χαλκιδικής ‘Ο ΑΡΙΣΤΟΤΕΛΗΣ’	1				
096034895	accepted	ΔΑΣΕ ΑΡΙΣΤΟΤΕΛΗ	1				
096034902	accepted	ΔΑΣΕ ΣΤΡΑΤΟΝΙΚΗΣ	4	ΔΑΣΕ Στρατονίκης	ΔΑΣΕ ΣΤΡΑΤΟΝΙΚΗΣ		
096034902	accepted	ΔΑΣΕ Στρατονίκης	2				
096034987	accepted	ΔΑΣΕ ΚΡΥΟΝΕΡΙΟΥ	4	ΔΑΣΕ ΚΡΥΟΝΕΡΙΟΥ ΛΑΓΚΑΔΑ	ΔΑΣΕ ΚΡΥΟΝΕΡΙΟΥ		
096034987	accepted	ΔΑΣΕ ΚΡΥΟΝΕΡΙΟΥ ΛΑΓΚΑΔΑ	2				
096034999	accepted	ΔΑΣΕ Η ΕΝΩΣΗ ΣΤΑΥΡΟΥ	6	ΔΑΣΙΚΟΣ ΣΥΝΕΤΑΙΡΙΣΜΟΣ ΕΡΓΑΣΙΑΣ (ΔΑ.Σ.Ε.) Η ΕΝΩΣΗ ΣΤΑΥΡΟΥ	ΔΑΣΕ Η ΕΝΩΣΗ ΣΤΑΥΡΟΥ		
096034999	accepted	"ΔΑΣΕ ""Η ΕΝΩΣΗ ΣΤΑΥΡΟΥ"""	4				
096034999	accepted	"ΔΑΣΕ "" Η ΕΝΩΣΗ "" ΣΤΑΥΡΟΥ"	3				
096034999	accepted	ΔΑΣΙΚΟΣ ΣΥΝΕΤΑΙΡΙΣΜΟΣ ΕΡΓΑΣΙΑΣ (ΔΑ.Σ.Ε.) Η ΕΝΩΣΗ ΣΤΑΥΡΟΥ	3				
096034999	accepted	"ΔΑ.Σ.Ε. ""Η ΕΝΩΣΗ"" ΣΤΑΥΡΟΥ"	2				
096034999	accepted	"ΔΑΣΕ ""Η ΕΝΩΣΗ ""ΣΤΑΥΡΟΥ"	2				
096034999	accepted	"ΔΑΣΕ ""Η ΕΝΩΣΗ"" ΣΤΑΥΡΟΥ"	2				
096034999	accepted	"ΔΑΣΕ "" Η ΕΝΩΣΗ"" ΣΤΑΥΡΟΥ"	1				
096034999	accepted	"ΔΑΣΕ ""Η ΕΝΩΣΗ"" ΚΑΤΩ ΣΤΑΥΡΟΥ"	1				
096034999	accepted	ΔΑΣΕ «Η ΕΝΩΣΗ ΣΤΑΥΡΟΥ»	1				
096034999	accepted	Δασικός Συνεταιρισμός «Ένωση » Σταυρού	1				
096034999	accepted	Δασικός Συνεταιρισμός Σταυρού Ή ΕΝΩΣΗ¨	1				
096035007	accepted	ΔΑ.Σ.Ε. Στεφανινών Θεσσαλονίκης	1	ΔΑ.Σ.Ε. Στεφανινών Θεσσαλονίκης	ΔΑ.Σ.Ε. Στεφανινών Θεσσαλονίκης		
096035019	accepted	ΔΑΣΕ ΣΟΧΟΥ	8	ΔΑΣΙΚΟΣ ΣΥΝΕΤΑΙΡΙΣΜΟΣ ΕΡΓΑΣΙΑΣ ΔΑΣΕ ΣΟΧΟΥ	ΔΑΣΕ ΣΟΧΟΥ		
096035019	accepted	090273987	1				
096035019	accepted	ΔΑ.Σ.Ε. Σοχού Θεσσαλονίκης ‘Η ΔΡΥΣ’	1				
096035019	accepted	ΔΑΣΕ Σοχού	1				
096035019	accepted	ΔΑΣΙΚΟΣ ΣΥΝΕΤΑΙΡΙΣΜΟΣ ΕΡΓΑΣΙΑΣ ΔΑΣΕ ΣΟΧΟΥ	1				
096035032	accepted	ΔΑ.Σ.Ε. Η ΠΡΟΟΔΟΣ ΑΝΩ ΣΤΑΥΡΟΥ	4	ΔΑ.Σ.Ε. Άνω Σταυρού Θεσ/νίκης ΄΄ΠΡΟΟΔΟΣ΄΄	ΔΑ.Σ.Ε. Η ΠΡΟΟΔΟΣ ΑΝΩ ΣΤΑΥΡΟΥ		
096035032	accepted	ΔΑΣΕ Η ΠΡΟΟΔΟΣ ΑΝΩ ΣΤΑΥΡΟΥ	4				
096035032	accepted	ΔΑ.Σ.Ε. ΑΝΩ ΣΤΑΥΡΟΥ	2				
096035032	accepted	"ΔΑΣΕ ""Η ΠΡΟΟΔΟΣ"" ΑΝΩ ΣΤΑΥΡΟΥ"	2				
096035032	accepted	"ΔΑΣΕ ΑΝΩ ΣΤΑΥΡΟΥ ""Η ΠΡΟΟΔΟΣ"""	2				
096035032	accepted	ΔΑΣΕ ΑΝΩ ΣΤΑΥΡΟΥ Η ΠΡΟΟΔΟΣ	2				
